,Age: ,Percentage of Population
0,0,1.0596
1,1,1.0596
2,2,1.0596
3,3,1.0596
4,4,1.0596
5,5,1.0926
6,6,1.0926
7,7,1.0926
8,8,1.0926
9,9,1.0926
10,10,1.0916000000000001
11,11,1.0916000000000001
12,12,1.0916000000000001
13,13,1.0916000000000001
14,14,1.0916000000000001
15,15,1.2948
16,16,1.2948
17,17,1.2948
18,18,1.2948
19,19,1.2948
20,20,1.389
21,21,1.389
22,22,1.389
23,23,1.389
24,24,1.389
25,25,1.4298
26,26,1.4298
27,27,1.4298
28,28,1.4298
29,29,1.4298
30,30,1.3968
31,31,1.3968
32,32,1.3968
33,33,1.3968
34,34,1.3968
35,35,1.3222
36,36,1.3222
37,37,1.3222
38,38,1.3222
39,39,1.3222
40,40,1.2358
41,41,1.2358
42,42,1.2358
43,43,1.2358
44,44,1.2358
45,45,1.2452
46,46,1.2452
47,47,1.2452
48,48,1.2452
49,49,1.2452
50,50,1.3538000000000001
51,51,1.3538000000000001
52,52,1.3538000000000001
53,53,1.3538000000000001
54,54,1.3538000000000001
55,55,1.3561999999999999
56,56,1.3561999999999999
57,57,1.3561999999999999
58,58,1.3561999999999999
59,59,1.3561999999999999
60,60,1.1858
61,61,1.1858
62,62,1.1858
63,63,1.1858
64,64,1.1858
65,65,0.9658
66,66,0.9658
67,67,0.9658
68,68,0.9658
69,69,0.9658
70,70,0.7098
71,71,0.7098
72,72,0.7098
73,73,0.7098
74,74,0.7098
75,75,0.4514
76,76,0.4514
77,77,0.4514
78,78,0.4514
79,79,0.4514
80,80,0.27240000000000003
81,81,0.27240000000000003
82,82,0.27240000000000003
83,83,0.27240000000000003
84,84,0.27240000000000003
85,85,0.134
86,86,0.134
87,87,0.134
88,88,0.134
89,89,0.134
90,90,0.04
91,91,0.04
92,92,0.04
93,93,0.04
94,94,0.04
95,95,0.007000000000000001
96,96,0.007000000000000001
97,97,0.007000000000000001
98,98,0.007000000000000001
99,99,0.007000000000000001
